time,event,a,b,c,d,e
2026.07.08 20:35:00,ENTRY_ACCEPTED,P2_EURUSD_1783542600,id=59,1.14262,lot=3.69,riskP=93.10/A=44.28
2026.07.08 20:37:29,EXIT,id=59,TARGET,88.56,R=2.000,
2026.07.08 21:05:00,ENTRY_ATTEMPT,P1_EURUSD_1783544400,BUY,2.13,1.14216,1.14172
2026.07.08 21:05:00,ENTRY_ACCEPTED,P1_EURUSD_1783544400,id=60,1.14216,lot=2.13,riskP=93.99/A=93.72
2026.07.08 22:34:01,EXIT,id=60,TARGET,189.57,R=2.023,
2026.07.08 22:55:00,ENTRY_ATTEMPT,P1_EURUSD_1783551000,BUY,2.08,1.14267,1.14221
2026.07.08 22:55:00,ENTRY_ACCEPTED,P1_EURUSD_1783551000,id=61,1.14267,lot=2.08,riskP=95.88/A=95.68
2026.07.08 23:24:48,EXIT,id=61,STOP,-97.76,R=-1.022,
2026.07.08 23:45:00,ENTRY_ATTEMPT,P1_EURUSD_1783554000,BUY,4.72,1.14165,1.14147
2026.07.08 23:45:00,ENTRY_ACCEPTED,P1_EURUSD_1783554000,id=62,1.14165,lot=4.72,riskP=94.90/A=84.96
2026.07.09 00:00:27,EXIT,id=62,STOP,-109.03,R=-1.283,
2026.07.09 00:45:00,ENTRY_ATTEMPT,P1_EURUSD_1783557600,BUY,2.53,1.14179,1.14142
2026.07.09 00:45:00,ENTRY_ACCEPTED,P1_EURUSD_1783557600,id=63,1.14179,lot=2.53,riskP=93.81/A=93.61
2026.07.09 00:49:44,EXIT,id=63,STOP,-101.20,R=-1.081,
2026.07.09 02:55:00,ENTRY_ATTEMPT,P2_EURUSD_1783565400,SELL,4.13,1.14205,1.14220
2026.07.09 02:55:00,ENTRY_ACCEPTED,P2_EURUSD_1783565400,id=64,1.14205,lot=4.13,riskP=92.80/A=61.95
2026.07.09 02:56:15,EXIT,id=64,STOP,-78.47,R=-1.267,
2026.07.09 03:20:00,ENTRY_ATTEMPT,P2_EURUSD_1783566900,SELL,2.87,1.14263,1.14295
2026.07.09 03:20:00,ENTRY_ACCEPTED,P2_EURUSD_1783566900,id=65,1.14263,lot=2.87,riskP=92.02/A=91.84
2026.07.09 03:32:56,EXIT,id=65,STOP,-91.84,R=-1.000,
2026.07.09 05:10:00,ENTRY_ATTEMPT,P2_EURUSD_1783573500,SELL,3.17,1.14271,1.14279
2026.07.09 05:10:00,ENTRY_ACCEPTED,P2_EURUSD_1783573500,id=66,1.14271,lot=3.17,riskP=91.10/A=25.36
2026.07.09 05:10:31,EXIT,id=66,STOP,-25.36,R=-1.000,
2026.07.09 05:40:01,ENTRY_ATTEMPT,P1_EURUSD_1783575300,BUY,3.16,1.14249,1.14241
2026.07.09 05:40:01,ENTRY_ACCEPTED,P1_EURUSD_1783575300,id=67,1.14249,lot=3.16,riskP=90.84/A=25.28
